	p	BH_p	bonferroni_p	F_stat	mgm4472467.3	mgm4472473.3	mgm4472682.3	mgm4473326.3	mgm4472586.3	mgm4472464.3	mgm4472337.3	mgm4472580.3	mgm4472934.3	mgm4472361.3	mgm4478571.3	mgm4473472.3	mgm4472444.3	sd	mean	mgm4472397.3	mgm4473666.3	median	mgm4472751.3	mgm4472312.3	mgm4472462.3	mgm4472428.3	mgm4472353.3	mgm4472419.3	mgm4472253.3	mgm4472495.3	mgm4478487.3	mgm4472255.3	mgm4472484.3	mgm4472305.3	mgm4472304.3	mgm4472167.3	mgm4472160.3
48	8.016282835836e-18	1.26590466449243e-16	6.07634238956368e-15	0.000127498035231075	0	0	0	0	0	0	0	0	0	0	0.225818588161523	0.229744917236778	0.227046972851734	0.181738728749043	0.232203080072782	0.293585548793723	0.270693217354953	0.296059200424468	0.298532852055213	0.334262125073357	0.338201316815525	0.623485621950141	0.347557299161515	0.421197675072955	0.350679711554694	0.363328536630464	0.338095199813491	0.350150734377889	0.41087860054184	0.413891680266257	0.344097241761864	0.391017034994493	0.393827527715028
28	9.27378015687775e-19	2.4939286302004e-17	7.02952535891333e-16	0.000153345908235765	0	0	0	0	0	0	0	0	0	0	0.3429878367406	0.354456512127083	0.320391346640834	0.285790939029703	0.353985524140279	0.33336816972289	0.313722053846339	0.364441961235138	0.446107837383734	0.374427410343192	0.436732561037374	0.823710718621122	0.552348642586682	0.575618814866027	0.647680298413872	0.515260750375831	0.564415431984629	0.521034479986494	0.742523172898361	0.736363563280302	0.662810010370525	0.696328512512963	0.659277600469487
92	2.7216997975896e-16	2.24244396366621e-15	2.06304844657292e-13	9.32107184962713e-05	0	0	0	0	0	0	0	0	0	0	0.399498355990385	0.405727102443103	0.295495654830333	0.260512462791532	0.324200464663842	0.310988737127284	0.431629297939562	0.402612729216744	0.434846572501226	0.384990875545658	0.38986904197249	1	0.556311951829312	0.495323616660369	0.499946137582301	0.506216687702487	0.46532626958542	0.480285551205473	0.553083422434099	0.565478209838332	0.48772660401476	0.517330031915492	0.54593981879718
36	2.62634746726292e-18	5.5299205005147e-17	1.99077138018529e-15	0.00014035493933835	0	0	0	0	0	0	0	0	0	0	0.43651389569985	0.44255774131569	0.374375959675539	0.294449536995304	0.380015917550305	0.504554188003955	0.456431735414942	0.480492961709448	0.443020797324565	0.513328134672123	0.511409989468691	0.953824633614972	0.596692686769943	0.825718902492946	0.529581722150316	0.602508220048074	0.535138394256819	0.573758551663706	0.650474712800765	0.656750086421043	0.571459349952971	0.587597173428946	0.634780651333296
146	2.85669635727516e-14	1.48313413617436e-13	2.16537583881456e-11	5.97040709257102e-05	0	0.111522537804182	0	0	0	0	0.0855351271394233	0	0	0	0.0875754676785298	0.0931257084515761	0.0764138884645995	0.0690417041523482	0.0998241566244074	0.124534733220249	0.100116567918901	0.113639250428086	0.115191613541173	0.12413599054594	0.112086887314999	0.220996695902437	0.135530705597672	0.185051973213496	0.158006608195127	0.143717793087924	0.13670763962023	0.137231793296943	0.182468184997307	0.174049569502617	0.160934472751244	0.167045847368379	0.162744893119277
113	3.17342231373847e-15	2.12872045470245e-14	2.40545411381375e-12	7.40948812792972e-05	0	0.113403702840238	0	0	0	0	0	0	0	0	0.0808917043837577	0.082415930412972	0.0787195215087908	0.071526418439562	0.0962940512845249	0.11479930220032	0.0918555200938975	0.114101502520279	0.127020443601225	0.112442218488476	0.122867410021625	0.227936104702109	0.149624972867812	0.168586151731235	0.157799197691151	0.135117492423085	0.15107684639564	0.131742650191734	0.164444372985184	0.18828854177553	0.159818636396524	0.171295350949828	0.158675466874613
37	2.75608417190425e-18	5.64624811433358e-17	2.08911180230343e-15	0.000139777153301109	0	0	0	0	0	0	0	0	0	0	0.0759733421228224	0.09363860729474	0.104891833010427	0.0781110128985285	0.0958724237819992	0.0665337524418969	0.0975392110361682	0.101215522023298	0.110231447612769	0.136607953951652	0.092760730277914	0.244049810677621	0.177176805395889	0.1394313093391	0.165248289667259	0.167578040211912	0.158559702872394	0.159868479230813	0.176757160887846	0.188130974105844	0.165307779501732	0.175556109364825	0.180331374456351
50	9.45646590909555e-18	1.43360023181888e-16	7.16800115909442e-15	0.000125683087850704	0	0	0	0	0	0	0	0	0	0	0.0877860938492335	0.0883986783609747	0.0862522208198342	0.068634771306282	0.086067319982957	0.0893987507134761	0.08764138884646	0.095234381908659	0.112971195665281	0.10244471063019	0.101070013103842	0.230941145259705	0.151263355065881	0.140109815018771	0.139731974178196	0.119465234623084	0.135549999598042	0.1314661028531	0.166590830526324	0.165418720003859	0.139124213166547	0.149793795371048	0.156601361834859
137	1.92970259888695e-14	1.06767486858124e-13	1.4627145699563e-11	6.21044879188152e-05	0.0994734345732408	0	0	0	0	0	0	0.0724682653889751	0	0	0.0835237276008714	0.0846074072883086	0.0924890064393726	0.0749459492140758	0.103985282965274	0.137519595469126	0.107885618734474	0.108046402070889	0.124827358892524	0.103911054658295	0.108207185407304	0.233380228473121	0.117688578755698	0.201075640520616	0.132559429540722	0.169237324243715	0.149610502367535	0.162921754789334	0.203624056402794	0.203561350901593	0.176930806891174	0.172980360315457	0.181075801303953
72	4.35610905035257e-17	4.58601480578785e-16	3.30193066016725e-14	0.000109915522307991	0.075572991615149	0	0	0	0	0	0	0	0	0	0.119351078454229	0.121245106157198	0.0976276418711965	0.0750732909679668	0.102817299215109	0.149832383371787	0.117180503412626	0.12861059079837	0.123483210200095	0.134982434420497	0.133737971396644	0.243245893995546	0.138756019326157	0.22058348272785	0.153792476947689	0.16074314058091	0.140463538358884	0.148050904004309	0.17434541084162	0.165811031344711	0.14733059465717	0.14568417329228	0.172698989476731
